1,10/11 10:32,40056,https://paraphraz.it/es/
1,01/01 10:20,56402,https://docs.google.com/
1,02/02 9:24,2050000,https://www.essapp.coop/cooperativas/
1,03/02 15:32,10334712,https://www.gcoop.coop/
2,04/04 14:34,73553822,https://www.canva.com/
2,05/04 21:45,3912232,https://www.educa.una.py/politecnica
2,08/05 8:30,392532,https://www.worldometers.info/
3,12/06 23:32,254578,https://www.paraguay.gov/
3,15/06 8:32,5853224,https://www.aguasresiduales.info/
4,04/07 9:32,152398,https://www.afa.com.ar/
5,09/07 12:32,8565243,http://hitmontop-ejerciciosresueltos.blogspot.com/
3,10/07 10:32,4556656,https://www.gov.br/mre/es
1,04/07 9:32,159758,https://es.wikipedia.org
2,09/08 12:32,85543,https://es.stackoverflow.com/questions/
3,10/08 10:32,4556,https://www.media.net/
1,04/10 9:32,155598,https://www.microsoft.net/
5,09/11 12:32,854443,https://es.slideshare.net/
